id,brand,categories,manufacturer,name,reviews.date,reviews.dateAdded,reviews.didPurchase,reviews.doRecommend,reviews.id,reviews.rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.username
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2012-09-12T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,34766460,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=50,Miss the shade cocoa! Bring it back. None other compares.,Missing cocoa,LoveCocoa
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2012-08-13T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,33996327,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=43,"I LOVE this product but, sadly can't buy it anymore because you've discontinued my favorite colors--papaya and cocoa. Darn!",Can't find my favorite color,Darcy
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-01-15T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,38609955,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=44,"PLEASE, PLEASE, PLEASE bring back cocoa! I've wasted 50.00 or more trying these other colors. They don't work for me.",BRING BACK COCOA!!!,DGreen
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-07-03T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,43709462,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=44,This was MY shade of lipstick. I wore it all day every day and all night. PLease please please bring it back!!!!!!!,Please Bring Cocoa Back!,Eileen
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-03-13T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,FALSE,40486491,1,"https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=37,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=36",This is by far the best shade out of all of them! We want it back Please please restock!! I gave them all to my friends once upon a time and they all have it.,Bring back COCOA,Laura1711
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-07-03T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,FALSE,43710185,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=36,"I tried this for the first time, and loved the look, but after a half hour or so, my lip started to swell.. it wasn't pleasant. my roommate had the same experience.",...problem,BrookieCookie
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-06-07T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,FALSE,42954509,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=34,"Cocoa was my fav lip gloss! I understand if ur not making enough sales that u take it out of the stores, but to discontinue it that was just wrong!!!! People will buy it online!",Hello bring cocoa back,Maryland
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2012-05-12T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,FALSE,31281006,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=28,"I can't believe NUTMEG PAPAYA have been discontinued with no replacements! Your lip shimmer colors are INCOMPLETE without a coral,peach or copper color. I used to buy 3 at a time because they were always sold out.",No CORAL/PEACH/COPPER shades,moonmaiden
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-01-05T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,FALSE,38315110,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=27,Until you bring back Cocoa.. You are minus a customer. This was my all time favorite shade and I haven't found another like it. I am not the only one. Read ALL the reviews....Why take away a good product that people love,Minus cocoa. minus me,Christylee76
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-01-16T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,38628905,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=23,"As so many other reviewers have said, Cocoa was a really nice lip color, and now you've discontinued it. I'm so disappointed. Your other colors aren't right for me, so now I'm an ex-customer. I hope you'll reconsider your decision and bring back Cocoa.",Please bring back Cocoa Lip Shimmer,ExCustomer
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2012-09-08T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,34633057,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=19,I have been using cocoa lip tint for years and could not find it in the store any more so my friend who also has used the color for years said she had recently got it online. So sad when I saw that it was no longer here! What am I going to carry in my pockets for dry lips Bring it back!!!,Need cocoa!!!,cocoalips
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-07-17T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,44063038,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=14,As per many of the other reviews -- PLEASE BRING BACK COCOA. I've used this shade for over 7 years -- I have never had a lipstick that works as well as COCOA. It's the best!!! PLEASE PLEASE PLEASE bring it back. I've tried other Burt's Bees shades -- but nothing looks as good as COCOA. 1 Star -- only because there is no COCOA.,COCOA -- PLEASE,Gigi820
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2013-10-27T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,48471337,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=7,"I used to love your lip shimmers, I even opted to use the cocoa lip shimmer for my wedding, paired with all the expensive make-up I bought for the special occasion. I am very disappointed to discover after periodically looking in different stores for months (years), that you have discontinued your cocoa color. I have bought two other colors in attempt to replace my last cocoa, but they look just awful on me. Please (PLEASE PLEASE!!) bring back cocoa!!",Bring back COCOA!!,Hoppy
AVpf63aJLJeJML43F__Q,Burt's Bees,"Personal Care,Makeup,Lipstick, Lip Gloss, & Lip Balm,Lip Gloss,Beauty,Lips,Beauty & Personal Care,Skin Care,Lip Care,Lip Balms & Treatments",Burt's Bees,"Burt's Bees Lip Shimmer, Raisin",2012-12-07T00:00:00.000Z,2017-09-22T05:00:06Z,FALSE,TRUE,37387490,1,https://www.walmart.com/reviews/product/10451615?limit=20&sort=relevancy&page=7,"The Rhubarb lip shimmer was my favorite and I used to be able to wear it with everything. This summer I went to buy more of it and noticed that the color of the cap was different than the one I was using. I bought it and brought it home, and the shade is definitely not the same - it is darker and more pink. It feels a little more waxy also. I am so disappointed! I am wondering why you would change the color and/or formula if this is your best seller",Bring back old Rhubarb color!,familygirl
